Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69bc1a99618560050aa7c506,69b22a43c316918ed6f1a893,REJECTED,Not Applicable,2026-03-19T15:47:43.956000Z,2026-03-19T15:59:02.069000Z,2026-03-21T10:41:09.823000Z,2026-03-21T12:13:50.647324Z,679.0,NOCODE,15,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bc1adcbdb507d1aa271f23,697b4ec7721738b07052d54e,APPROVED,Not Applicable,2026-03-19T15:50:53.219000Z,2026-03-19T16:14:34.682000Z,2026-03-23T07:49:19.112000Z,2026-03-19T16:14:35.327791Z,1422.0,EBWF5B76P0,102,26,Female,White,Brazil,Brazil,Brazil,Portuguese,No,Unemployed (and job seeking)
69bc1b46fa7303c0b2a6f3ab,65f335ba737e19c6aad352aa,APPROVED,Not Applicable,2026-03-19T15:50:53.500000Z,2026-03-19T16:10:51.607000Z,2026-03-23T07:48:45.240000Z,2026-03-19T16:10:52.163952Z,1199.0,VYK4I788PC,1577,26,Male,Asian,India,India,India,Hindi,No,Full-Time
69bc1c3a38b62b84b581c4d1,6660635f72af277e6421a62e,APPROVED,Not Applicable,2026-03-19T15:54:40.545000Z,2026-03-19T16:08:55.968000Z,2026-03-23T07:49:37.902000Z,2026-03-19T16:08:56.681886Z,856.0,6X1BE4WB4J,347,29,Female,Asian,India,United Kingdom,India,Hindi,Yes,Part-Time
69bc1c77632deb34d6cf220f,698c054ad44c45a1061327b9,TIMED-OUT,Not Applicable,2026-03-19T15:55:46.803000Z,,,2026-03-21T12:13:50.650099Z,159484.0,,46,39,Female,White,Australia,Australia,Australia,English,No,Other
69bc1cafa9d0c591f3490f83,613a2db39f0e9db183392ecb,APPROVED,Not Applicable,2026-03-19T15:56:38.315000Z,2026-03-19T16:04:38.607000Z,2026-03-23T07:49:54.269000Z,2026-03-19T16:04:39.108300Z,481.0,VG2PLF7UP9,566,23,Female,Other,Mexico,Mexico,Mexico,Spanish,No,Full-Time
69bc1cb3ef5a4ed87fb042e6,69167b9d4c902476e8b83369,APPROVED,Not Applicable,2026-03-19T15:57:25.486000Z,2026-03-19T16:14:56.986000Z,2026-03-23T07:49:56.704000Z,2026-03-19T16:14:57.699349Z,1052.0,3NIR67T16Z,117,25,Female,White,Mexico,Mexico,Mexico,Spanish,No,Unemployed (and job seeking)
69bc1d42fca79801690253ba,69a266126c01b7d7fc83d434,APPROVED,Not Applicable,2026-03-19T15:59:05.607000Z,2026-03-19T16:38:53.895000Z,2026-03-23T07:49:49.632000Z,2026-03-19T16:38:54.505747Z,2389.0,I6AEHWLZLN,16,24,Female,Asian,Korea,Korea,Korea,Korean,Yes,Other
69bc1d7518ec429938346090,697ce0a9f2e61d5fc6e7f231,APPROVED,Not Applicable,2026-03-19T16:00:10.320000Z,2026-03-19T16:13:29.605000Z,2026-03-23T07:49:42.501000Z,2026-03-19T16:13:30.144522Z,800.0,D0A3626HAN,158,25,Female,Asian,India,India,India,Tamil,No,Full-Time
69bc1db08ff4d2f54bd5bb70,60ffa96e53f71dd3d469cb7b,APPROVED,Not Applicable,2026-03-19T16:00:48.109000Z,2026-03-19T16:19:57.269000Z,2026-03-23T07:48:50.344000Z,2026-03-19T16:19:57.849004Z,1150.0,UVML4OB36W,574,54,Male,White,Israel,Israel,Israel,Hebrew,DATA_EXPIRED,DATA_EXPIRED
69bc1e06e1ffbe7c7911ff0a,697d9216b667eda3edf795b1,APPROVED,Not Applicable,2026-03-19T16:02:25.391000Z,2026-03-19T16:38:07.433000Z,2026-03-23T07:49:43.730000Z,2026-03-19T16:38:08.156596Z,2143.0,Q5KF8M25U2,18,32,Female,Prefer not to say,India,India,India,Hindi,No,Due to start a new job within the next month
69bc1ed316f72507142506ea,67c1db0fa06fef84ebd4675b,APPROVED,Not Applicable,2026-03-19T16:05:41.732000Z,2026-03-19T16:27:58.448000Z,2026-03-23T07:49:05.640000Z,2026-03-19T16:27:59.139516Z,1337.0,LTPBNPS81P,1152,32,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Full-Time
