userid,dbid,toplevel,queryid,query,plans,total_plan_time,min_plan_time,max_plan_time,mean_plan_time,stddev_plan_time,calls,total_exec_time,min_exec_time,max_exec_time,mean_exec_time,stddev_exec_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,shared_blk_read_time,shared_blk_write_time,local_blk_read_time,local_blk_write_time,temp_blk_read_time,temp_blk_write_time,wal_records,wal_fpi,wal_bytes,jit_functions,jit_generation_time,jit_inlining_count,jit_inlining_time,jit_optimization_count,jit_optimization_time,jit_emission_count,jit_emission_time,jit_deform_count,jit_deform_time,stats_since,minmax_stats_since
69126503,69126482,t,,<insufficient privilege>,0,0,0,0,0,0,82478,3254.1184580000354,0.013951000000000002,15.629620000000001,0.03945438126530754,0.19781864450761547,1238479,247434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-28 04:31:09.430467+00,2026-02-28 04:31:09.430467+00
56201561,56201544,t,,<insufficient privilege>,0,0,0,0,0,0,1217,75.92357500000004,0.007275,4.701798,0.062385846343467576,0.3183457823539537,6520,3968,41,0,0,0,0,0,0,0,0,39.44818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-11 08:40:45.138057+00,2026-03-11 08:40:45.138057+00
20563,60269320,t,,<insufficient privilege>,0,0,0,0,0,0,8,0.09909,0.008492,0.018046,0.01238625,0.002753776441089581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 07:37:25.360785+00,2026-03-16 07:37:25.360785+00
26739460,26739437,t,,<insufficient privilege>,0,0,0,0,0,0,1,0.102076,0.102076,0.102076,0.102076,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 08:28:31.086127+00,2026-03-16 08:28:31.086127+00
71512638,71510822,t,,<insufficient privilege>,0,0,0,0,0,0,150811,24411.03507100032,0.040692000000000006,111.356699,0.16186508325652849,1.0456080026656156,150811,1679532,2211,0,390,0,0,0,0,0,0,5029.406378999996,16.306322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-02 20:02:16.029662+00,2026-03-02 20:02:16.029662+00
58888726,58888702,t,,<insufficient privilege>,0,0,0,0,0,0,47631,110402.4083239995,0.01727,1497.38239,2.3178687897377652,10.716634918193623,47631,43479096,5173,0,0,0,0,0,0,0,0,5018.2168360000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-16 20:37:09.947634+00,2026-02-16 20:37:09.947634+00
69347117,69347051,t,,<insufficient privilege>,0,0,0,0,0,0,114,0.17302499999999996,0.0006090000000000001,0.009259,0.0015177631578947364,0.0008363365005495281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 07:04:03.373948+00,2026-03-16 07:04:03.373948+00
41763993,41760479,t,,<insufficient privilege>,0,0,0,0,0,0,15933,4335.902476000001,0.007397,46.75489,0.2721334636289463,0.7584404057807206,81518,832964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 10:33:15.028102+00,2026-02-13 10:33:15.028102+00
41257543,41254257,t,,<insufficient privilege>,0,0,0,0,0,0,1170,40.584788999999994,0.006345,1.5795139999999999,0.03468785384615384,0.13344158093141448,1170,6521,17,0,0,0,0,0,0,0,0,15.431371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 02:09:20.6499+00,2026-03-16 02:09:20.6499+00
10,16384,t,,<insufficient privilege>,0,0,0,0,0,0,99,3.0028349999999993,0.008433,1.413895,0.03033166666666666,0.140528376339536,4950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 02:51:17.273167+00,2026-03-16 02:51:17.273167+00
